nick,lati,long
'Askar R.C.,"32,2145588297982","35,3041138603751"
Duma,"32,0512547938769","35,3793800249411"
Jurish,"32,1021824184197","35,3218467065980"
Nablus,"32,2227054353320","35,2620976850213"
Furush Beit Dajan,"32,1823410082299","35,4559206481951"
Lifjim,"32,1229607563970","35,4064427144050"
Qusrah,"32,0850091604068","35,3300367065409"
Deir Sharaf,"32,2547210500509","35,1910407070890"
a-Sawiyah,"32,0851628334249","35,2569323679089"
Deir al-Hatab,"32,2172429083231","35,3192920456012"
Rujeib,"32,1916258304385","35,2916915375688"
Huwarah,"32,1515288358495","35,2565412147065"
Bizzariya,"32,3071277399416","35,1641470299918"
Sabastiya,"32,2776599601470","35,1902240480973"
Beit Dajan,"32,1941852964120","35,3736234068943"
Qusin,"32,2389072308809","35,1840827070387"
a-Lubban a-Sharqiyah,"32,0705246365598","35,2422841985456"
Qabalan,"32,1019632480588","35,2875570452302"
'Asirah a-Shamaliyah,"32,2519054166654","35,2680848763971"
Burqah,"32,3070284486402","35,1540773982393"
Zawata,"32,2442030204005","35,2267640023049"
Aqraba,"32,1280926404419","35,3428205373624"
Battir,"31,7279598828133","35,1381175360831"
Beit Jala,"31,7157778043794","35,1868053826289"
Bir 'Unah,"31,7216483653570","35,1870280358824"
Irtas,"31,6898087773809","35,1883215359614"
al-Walajah,"31,7292458383447","35,1588730281362"
al-Khader,"31,6948088445713","35,1706588746107"
Jub a-Dib,"31,6634766264224","35,2491884568677"
al-Fureidis,"31,6641771855478","35,2341763739446"
Nahhalin,"31,6862631757824","35,1198467211661"
Husan,"31,7085698822025","35,1334247053371"
Tekoa,"31,6392369932857","35,2123180437504"
al-Maniyah,"31,6224960061279","35,2169901224632"
al-Halqum,"31,6469165466247","35,1986190836274"
Beit Fajjar,"31,6219257455218","35,1540443982304"
Khallet Sakariya,"31,6632261536381","35,1234823477026"
Wadi Fukin,"31,7071238041384","35,1045360280657"
'Arab a-Rashayidah,"31,5224420026802","35,3238360339731"
al-Khas,"31,7132602852193","35,2493306976378"
Khallet al-Louza,"31,6738895348995","35,1957883915767"
Harmalah,"31,9031181101325","35,2033059556697"
Wadi Rahhal,"31,6642954719530","35,1793072722870"
Beit Ta'mar,"31,6786438025584","35,2419075359256"
Kh. a-Nahlah,"31,6776434368901","35,1825590299122"
Kisan,"31,5998831205969","35,2205671310323"
Bethlehem,"31,7056720296719","35,2026996973766" 
Kh. Humsah a-Tahta,"31,5319735211600","34,9852959031972"
Kh. al-Maleh (Hamamat al-Maleh),"32,3289632093080","35,4667299398924"
Kh. a-Ras al-Ahmar,"32,2778321369028","35,4531548288838"
Kh.Ibziq,"32,3776421419077","35,4099870823366"
Kh. 'Einun,"31,1508423385080","35,6813554031786"
Bardalah,"32,3864238648641","35,4803680302488"
Kardalah,"32,3786656229792","35,4925893680210"
Kh. Humsah,"32,263971033405475","35,4372155620818"
Tammun,"32,2833365163696","35,3860461992306"
Hamam al-Maleh,"32,3270014245690","35,4772553482551"
Tayasir,"32,3393998263315","35,3959223846312"
Kh. 'Atuf,"32,2683052820359","35,4288218071353"
al-Burj (Tubas),"31,4414023857265","34,9075356960290"
'Azzun 'Atmah,"32,1232286900296","35,0183948759836"
a-Nabi Elyas,"32,1842666218722","35,0161745375463"
Jayus,"32,2004219759465","35,0337272148638"
Hajjah,"32,2047220000000","35,1305560000000"
Hablah,"32,1647220000000","34,9772220000000"
