Source,Target,Weight
Tarqumya,Qabalan,62.42404592387863
Tarqumya,'Asirah a-Shamaliyah,77.21493900698836
Tarqumya,Burqah,40.38385268027611
Tarqumya,Zawata,75.24876928349047
Tarqumya,Battir,19.421485675591548
Tarqumya,Beit Jala,21.714267434595033
Tarqumya,Bir 'Unah,22.149573876108445
Tarqumya,Irtas,20.129177682346654
Tarqumya,al-Walajah,20.813330891686036
Tarqumya,al-Khader,19.072703179687156
Tarqumya,Jub a-Dib,24.05285196166052
Tarqumya,al-Fureidis,22.742329041922545
Tarqumya,Nahhalin,14.810816884682543
Tarqumya,Husan,17.494113782414164
Tarqumya,Tekoa,19.90888300756432
Tarqumya,al-Maniyah,19.932852939523663
Tarqumya,al-Halqum,18.91949219590791
Tarqumya,Beit Fajjar,14.07374394661492
Tarqumya,Khallet Sakariya,13.393052689818116
Tarqumya,Wadi Fukin,15.662786011319437
Tarqumya,'Arab a-Rashayidah,30.744708828838995
Tarqumya,al-Khas,26.415873875413325
Tarqumya,Khallet al-Louza,19.854652235825355
Tarqumya,Harmalah,39.12838664587272
Tarqumya,Wadi Rahhal,17.978700487633166
Tarqumya,Beit Ta'mar,24.028765765371507
Tarqumya,Kh. a-Nahlah,18.95699083404152
Tarqumya,Kisan,19.99383116908068
Tarqumya,Bethlehem,22.2405723530813
Tarqumya,Kh. Humsah a-Tahta,6.97999514820624
Tarqumya,Kh. al-Maleh (Hamamat al-Maleh),92.49388357026055
Tarqumya,Kh. a-Ras al-Ahmar,86.89899706374017
Tarqumya,Kh.Ibziq,95.03901299925161
Tarqumya,Kh. 'Einun,80.38317699554135
Tarqumya,Bardalah,98.74189303837346
Tarqumya,Kardalah,98.50448958356905
Tarqumya,Kh. Humsah,7.128403137941098
Tarqumya,Tammun,84.57711031398806
Tarqumya,Hamam al-Maleh,92.7712110363121
Tarqumya,Tayasir,90.62359687876187
Tarqumya,Kh. 'Atuf,84.87855090956563
Tarqumya,al-Burj (Tubas),19.259607849243327
Tarqumya,'Azzun 'Atmah,58.99638710708046
Tarqumya,a-Nabi Elyas,65.76215831494541
Tarqumya,Jayus,67.587993503348
Tarqumya,Hajjah,68.97507563174304
Tarqumya,Hablah,63.66860430121305
Tarqumya,al-Funduq,67.01817635201613
Tarqumya,Kafr Laqif,65.99016097017082
Tarqumya,Immatin,68.12982807618606
Tarqumya,Jinsafut,66.33300420017771
Tarqumya,Ras 'Atiya,62.933955895632856
Tarqumya,'Arab a-Ramadin al-Janubi,64.71990071308255
Tarqumya,Qalqiliyah,67.10045377347741
Tarqumya,Jit,71.27137985627469
Tarqumya,'Ein Samia,53.7163859739808
Tarqumya,Beit Sira,32.99665711115834
Tarqumya,a-Lubban al-Gharbiyah,49.35391028952091
Tarqumya,Ramallah,39.13164919418508
Tarqumya,al-Mazra'ah al-Qibliyah,42.18972011046075
Tarqumya,Ni'lin,39.51817403632724
Tarqumya,Um Safa,48.57843082539945
Tarqumya,Deir a-Sudan,50.60705666680607
Tarqumya,Deir 'Ammar,42.48829810077744
Tarqumya,Sinjil,54.633616103523586
Tarqumya,Wadi a-Siq,147.2511934906085
Tarqumya,Qibyah,42.95503522725982
Tarqumya,al-Birah,40.837830720427064
Tarqumya,Beitin,42.9667371325638
Tarqumya,Rantis,48.641501958444344
Tarqumya,a-Nabi Samwil,31.298042844746398
Tarqumya,Bir Zeit,46.07785616476042
Tarqumya,Deir Nizam,46.662612796968055
Tarqumya,Ras a-Tin,56.26968400576124
Tarqumya,Turmusaya,55.59048718459419
Tarqumya,Kh.Jib'it,61.41032647755727
Tarqumya,Deir Dobwan,43.11365957417888
Tarqumya,a-Tirah,32.78709117045274
Tarqumya,Bitunya,36.39492141007272
Tarqumya,Kobar,45.565041891230834
Tarqumya,Kafr Ni'ma,37.81976719221126
Tarqumya,Deir Qadis,39.73681313659215
Tarqumya,Ras Karkar,39.95138334258558
Zif,Tarqumya,18.46298803776153
Zif,Hebron,7.9816691906870085
Zif,Suba,35.37665678144612
Zif,al-'Arrub R.C.,16.74288672477599
Zif,Idhna,19.00727620481462
Zif,al-Hijrah,8.223994405856061
Zif,Birin,2.5911981200736687
Zif,a-Dhahiriyah,16.55112490153101
Zif,al-Baq'ah (Hebron),7.711900457563135
Zif,Kh. Tatrit ('Arab al-Freijat),23.997421884886894
Zif,a-Ramadin,23.842665931921548
Zif,Deir Samit,16.69533755304736
Zif,Kh. Iqteit,25.01109889615908
Zif,Kh. Ma'in,6.370537322796533
Zif,a-Zuweidin,7.418123581426386
Zif,Kharas,18.530208536609305
Zif,Beit Ula,18.124662254642676
Zif,al-Mufaqarah,7.16705992325951
Zif,al-Buweib,7.033673949769757
Zif,Masafer Bani Na'im (Khallet al-Masafer),11.020339503000482
Zif,Qalqas,5.2935416262805335
Zif,Shuyukh al-'Arrub,12.331000659990687
Zif,Dura,11.312789081923862
Zif,a-Tuwani,6.032028651054529
Zif,Farsh al-Hawa,11.543183570925661
Zif,Um Lasafa,4.147733437392794
Zif,al-Jawaya,4.907789731597754
Zif,Bani Na'im,6.006461385144049
Zif,Beit 'Einun,10.989095012157943
Zif,a-Rifa'iya,2.536646920855681
Zif,Sa'ir,12.937888292162889
Zif,Khallet al-Mayah,2.270062409661927
Zif,Halhul,13.132530932990136
Zif,Beit Ummar,17.748116254834354
Zif,Beit Kahil,13.320104753597397
Zif,'Arab al-Fureijat,24.00686468939768
Zif,Far'a,14.620630765509615
Zif,al-Karmel,5.4483880321051785
Zif,a-Samu',10.186677544119599
Zif,Kh. Susiya,7.631992526741131
Zif,Beit 'Awwa,18.413628635990193
Zif,Beit Mirsim,21.51590249217818
Zif,Yatta,5.153638918162842
Zif,al-Burj,22.11057030156237
Zif,Deir Razih,9.222541977965562
Zif,'Arab al-Freijat,24.00298930942886
Zif,Kh. a-Rahwah,21.243976524960388
Zif,Humsah,16.31927658001773
Zif,Sikkah,18.708154679215557
Zif,Masafer Yatta,10.3667149377475
Zif,al-Fawar R.C.,7.043886887385923
Zif,Shufah,90.06322568554388
Zif,Nur Shams R.C.,94.86279709561919
Zif,Beit Lid,88.23510197319612
Zif,Tulkarm,95.23819756857242
Zif,Deir al-Ghusun,98.58442914650591
Zif,Kh. Jubara,89.47735034781417
Zif,Nazlat 'Isa,105.46677211123041
Zif,Bidu,40.82579309049908
Zif,a-Za'ayem,37.61143269770746
Zif,al-Muntar,35.01784778663125
Zif,Wadi Abu al-Hindy,36.54719060325425
Zif,Qalandia,44.364957322094305
Zif,Hizma,42.76267159024784
Zif,al-'Eizariyah,35.92032677534284
Zif,a-Sawahrah a-Sharqiyah,33.66397809371555
Zif,a-Ram,43.442659876297945
Zif,al-Kasarat,41.07121771617084
Zif,'Anata,39.99553124411256
Zif,al-Jib,42.893607523287606
Zif,al-Khalayleh,42.60905930481102
Zif,Abu Dis,35.08549862753033
Zif,Abu a-Nuwar,35.95291816101732
Zif,Mikhmas,46.82792491272336
Zif,Khan al-Ahmar (Bedouin Community),42.59029344511138
Zif,Beit Iksa,39.10453229067344
Zif,a-Zar'i (Za’atrah),25.66387815687507
Zif,Beit Surik,39.79104132229759
Zif,al-Ka'abneh,43.70460215527333
Zif,Jericho,53.50768616534086
Zif,al-Jiftlik,82.72951786831017
Zif,al-'Auja,62.09077236397232
Zif,Fasayil al-Wusta,97.14923927400834
Zif,'Aqbat Jaber R.C.,50.91479659116806
Zif,Wadi al-Ahmar,73.31953504690411
Zif,a-Zbeidat,86.84927051139744
Zif,Marj Na'jah,88.32113573388742
Zif,Fasayil,68.4977369183789
Zif,Ras 'Ein al-'Auja,58.972735158725285
Zif,Deir Hajla,52.095831991937324
Zif,Deir al-Qilt,48.01669225043152
Zif,a-Nabi Musa,45.07244726926482
Zif,Jenin,111.73279573623178
Zif,al-Mughayir,66.14191714663922
Zif,Jenin R.C.,111.73279573623178
Zif,al-Jalameh,117.22399891708928
Zif,Kfar Dan,112.7996304181832
Zif,Um a-Rihan,112.81766992888207
Zif,Jalbun,113.304503817176
Zif,Farasin,106.6985016317867
Zif,Rummanah,117.82767629632545
Zif,Ya'bad,108.83083388890952
Zif,Silat al-Harithiya,116.04439539218934
Zif,Turah al-Gharbiyah,111.32567792699948
Zif,Barta'ah a-Sharqiyah,111.13215610057766
Zif,a-Taybah,116.46964155099525
Zif,Deir Ballut,67.28881816232872
Zif,Haris,71.29466193573809
Zif,Kafr a-Dik,67.06873283248841
Zif,Qarawat Bani Hassan,73.5537307161464
Zif,Bruqin,67.38552091504216
Zif,Deir Istiya,73.70547883898865
Zif,Salfit,68.76002250238251
Zif,Bidya,72.01987139931185
Zif,a-Zawiya,71.13580377231385
Zif,Sarta,70.5375457804818
Zif,'Ein Shibli,88.69627194340492
Zif,Balata R.C.,83.39964149617461
Zif,'Askar R.C.,84.4965750516229
Zif,Duma,68.82163100296894
Zif,Jurish,72.67585788382893
Zif,Nablus,84.74236433169926
Zif,Furush Beit Dajan,84.95725059084793
Zif,Lifjim,77.170215891248
Zif,Qusrah,71.0234977544191
Zif,Deir Sharaf,87.61894989270566
Zif,a-Sawiyah,69.59011280536882
Zif,Deir al-Hatab,85.06703773644796
Zif,Rujeib,81.78234998067737
Zif,Huwarah,76.85560384866244
Zif,Bizzariya,93.31947923439535
Zif,Sabastiya,90.15432946577965
Zif,Beit Dajan,83.78471539102173
Zif,Qusin,85.83235568884342
Zif,a-Lubban a-Sharqiyah,67.77294114441305
Zif,Qabalan,71.94325697647399
Zif,'Asirah a-Shamaliyah,88.02746312502735
Zif,Burqah,48.18878004092005
Zif,Zawata,86.71634909555247
Zif,Battir,29.064571903338233
Zif,Beit Jala,28.097367343731637
Zif,Bir 'Unah,28.743005964369985
Zif,Irtas,25.28851571891568
Zif,al-Walajah,29.27390063260931
Zif,al-Khader,25.576639907058954
Zif,Jub a-Dib,24.322062040907237
Zif,al-Fureidis,23.810304680117007
Zif,Nahhalin,24.502215329283406
Zif,Husan,26.91816074681225
Zif,Tekoa,20.479024811173705
Zif,al-Maniyah,18.918753085215158
Zif,al-Halqum,20.88553789614276
Zif,Beit Fajjar,17.37384818007715
Zif,Khallet Sakariya,21.930486491514152
Zif,Wadi Fukin,26.94273318675381
Zif,'Arab a-Rashayidah,18.733437610905796
Zif,al-Khas,29.3972800631193
Zif,Khallet al-Louza,23.71125484686095
Zif,Harmalah,48.87984362665265
Zif,Wadi Rahhal,22.35113189983131
Zif,Beit Ta'mar,25.572976723127237
Zif,Kh. a-Nahlah,23.86235155870473
Zif,Kisan,16.802398204326074
Zif,Bethlehem,27.29189711373988
Zif,Kh. Humsah a-Tahta,16.26038321245678
Zif,Kh. al-Maleh (Hamamat al-Maleh),100.63166794248592
Zif,Kh. a-Ras al-Ahmar,94.84638344990964
Zif,Kh.Ibziq,104.32570655812314
Zif,Kh. 'Einun,62.406973628749014
