Source,Target,Weight
Hebron,Yatta,9.391173867997077
Hebron,al-Burj,20.462414131337884
Hebron,Deir Razih,8.166415366407682
Hebron,'Arab al-Freijat,25.472486596010224
Hebron,Kh. a-Rahwah,23.033129659292555
Hebron,Humsah,10.674257111378338
Hebron,Sikkah,15.165355462031608
Hebron,Masafer Yatta,18.320502025787665
Hebron,al-Fawar R.C.,6.3104728945395445
Suba,Tarqumya,24.108938974707055
Suba,Zif,35.37665678144612
Suba,Hebron,28.53221533591678
Suba,al-'Arrub R.C.,18.675621045921524
Suba,Idhna,27.893459752497677
Suba,al-Hijrah,33.44987111592895
Suba,Birin,32.99922182794396
Suba,a-Dhahiriyah,43.84552803001698
Suba,al-Baq'ah (Hebron),27.745107037275766
Suba,Kh. Tatrit ('Arab al-Freijat),51.40024606973364
Suba,a-Ramadin,49.658457334702845
Suba,Deir Samit,32.53766971953004
Suba,Kh. Iqteit,46.540914237543745
Suba,Kh. Ma'in,41.716937165285984
Suba,a-Zuweidin,38.55964562001602
Suba,Kharas,20.618357755866317
Suba,Beit Ula,22.717321333324055
Suba,al-Mufaqarah,42.48785735768153
Suba,al-Buweib,34.45211943263348
Suba,Masafer Bani Na'im (Khallet al-Masafer),34.31097349525716
Suba,Qalqas,32.42714149273754
Suba,Shuyukh al-'Arrub,23.216866247324134
Suba,Dura,32.4591132770014
Suba,a-Tuwani,41.28039725134448
Suba,Farsh al-Hawa,25.336922808898137
Suba,Um Lasafa,38.9791193489412
Suba,al-Jawaya,40.158202625601334
Suba,Bani Na'im,30.168115763563826
Suba,Beit 'Einun,24.40941082074766
Suba,a-Rifa'iya,37.549955422806995
Suba,Sa'ir,22.49486433259237
Suba,Khallet al-Mayah,37.60757754302172
Suba,Halhul,22.871434152210576
Suba,Beit Ummar,18.077509374542565
Suba,Beit Kahil,24.373294621638532
Suba,'Arab al-Fureijat,51.392117574778545
Suba,Far'a,28.54420575107683
Suba,al-Karmel,40.78453087300064
Suba,a-Samu',43.21803812290051
Suba,Kh. Susiya,42.50435613357775
Suba,Beit 'Awwa,35.07503803309238
Suba,Beit Mirsim,41.94762018116182
Suba,Yatta,37.92065549291675
Suba,al-Burj,43.37293686328175
Suba,Deir Razih,35.5461498002587
Suba,'Arab al-Freijat,51.43742868400142
Suba,Kh. a-Rahwah,49.55890096702659
Suba,Humsah,31.06902432511692
Suba,Sikkah,36.87926482342892
Suba,Masafer Yatta,45.20353535287477
Suba,al-Fawar R.C.,34.437304477633845
al-'Arrub R.C.,Tarqumya,12.78189629829745
al-'Arrub R.C.,Zif,16.74288672477599
al-'Arrub R.C.,Hebron,10.653523879154685
al-'Arrub R.C.,Suba,18.675621045921524
al-'Arrub R.C.,Idhna,16.512852743151583
al-'Arrub R.C.,al-Hijrah,16.327351895028016
al-'Arrub R.C.,Birin,14.329015845911899
al-'Arrub R.C.,a-Dhahiriyah,27.72474333004138
al-'Arrub R.C.,al-Baq'ah (Hebron),9.257063578685562
al-'Arrub R.C.,Kh. Tatrit ('Arab al-Freijat),35.74090023587479
al-'Arrub R.C.,a-Ramadin,34.52503094805412
al-'Arrub R.C.,Deir Samit,19.03926125323732
al-'Arrub R.C.,Kh. Iqteit,32.93758115769582
al-'Arrub R.C.,Kh. Ma'in,23.106557272011287
al-'Arrub R.C.,a-Zuweidin,20.213927458832806
al-'Arrub R.C.,Kharas,9.229723110653053
al-'Arrub R.C.,Beit Ula,11.10625942868035
al-'Arrub R.C.,al-Mufaqarah,23.821044628692437
al-'Arrub R.C.,al-Buweib,16.960747691588814
al-'Arrub R.C.,Masafer Bani Na'im (Khallet al-Masafer),17.056786293599792
al-'Arrub R.C.,Qalqas,14.41508385886746
al-'Arrub R.C.,Shuyukh al-'Arrub,4.572022334769863
al-'Arrub R.C.,Dura,16.4933017263476
al-'Arrub R.C.,a-Tuwani,22.607952734198708
al-'Arrub R.C.,Farsh al-Hawa,8.410429976516502
al-'Arrub R.C.,Um Lasafa,20.30506037295261
al-'Arrub R.C.,al-Jawaya,21.487441554671737
al-'Arrub R.C.,Bani Na'im,11.543274873125485
al-'Arrub R.C.,Beit 'Einun,5.9231615057021605
al-'Arrub R.C.,a-Rifa'iya,18.876243102519908
al-'Arrub R.C.,Sa'ir,3.8198664268320948
al-'Arrub R.C.,Khallet al-Mayah,18.95405014146039
al-'Arrub R.C.,Halhul,5.702572549184327
al-'Arrub R.C.,Beit Ummar,3.772202327559775
al-'Arrub R.C.,Beit Kahil,8.588713586200836
al-'Arrub R.C.,'Arab al-Fureijat,35.73921745207148
al-'Arrub R.C.,Far'a,14.358519020040331
al-'Arrub R.C.,al-Karmel,22.17821658263818
al-'Arrub R.C.,a-Samu',25.271463734313787
al-'Arrub R.C.,Kh. Susiya,24.053109509107607
al-'Arrub R.C.,Beit 'Awwa,21.897461674392787
al-'Arrub R.C.,Beit Mirsim,28.311985654258088
al-'Arrub R.C.,Yatta,19.759191370316586
al-'Arrub R.C.,al-Burj,29.556933890881403
al-'Arrub R.C.,Deir Razih,18.617502509400296
al-'Arrub R.C.,'Arab al-Freijat,35.7676352369058
al-'Arrub R.C.,Kh. a-Rahwah,33.45537704897551
al-'Arrub R.C.,Humsah,17.609999890412347
al-'Arrub R.C.,Sikkah,23.405689278793933
al-'Arrub R.C.,Masafer Yatta,26.549167794591938
al-'Arrub R.C.,al-Fawar R.C.,16.949092741945364
Idhna,Tarqumya,4.0670051596450545
Idhna,Zif,19.00727620481462
Idhna,Hebron,12.17294521580415
Idhna,Suba,27.893459752497677
Idhna,al-'Arrub R.C.,16.512852743151583
Idhna,al-Hijrah,11.488440340511909
Idhna,Birin,18.471675404311245
Idhna,a-Dhahiriyah,17.421499395008368
Idhna,al-Baq'ah (Hebron),14.524590984785544
Idhna,Kh. Tatrit ('Arab al-Freijat),24.109404985584984
Idhna,a-Ramadin,22.106827812875196
Idhna,Deir Samit,5.149224409923932
Idhna,Kh. Iqteit,18.648263126632514
Idhna,Kh. Ma'in,23.04916626125202
Idhna,a-Zuweidin,26.154906756349042
Idhna,Kharas,8.069426850194985
Idhna,Beit Ula,5.77757989392432
Idhna,al-Mufaqarah,24.68481408309932
Idhna,al-Buweib,12.986845754810101
Idhna,Masafer Bani Na'im (Khallet al-Masafer),27.118332699817397
Idhna,Qalqas,13.714572722627041
Idhna,Shuyukh al-'Arrub,16.565741650754614
Idhna,Dura,8.520951801593112
Idhna,a-Tuwani,24.00602611383562
Idhna,Farsh al-Hawa,10.186883955361212
Idhna,Um Lasafa,22.94262040259219
Idhna,al-Jawaya,23.084553027420785
Idhna,Bani Na'im,18.80743877533885
Idhna,Beit 'Einun,14.350961019972136
Idhna,a-Rifa'iya,21.414597090630934
Idhna,Sa'ir,15.900441812155952
Idhna,Khallet al-Mayah,20.782433625969038
Idhna,Halhul,11.723372159038504
Idhna,Beit Ummar,13.363496780929497
Idhna,Beit Kahil,8.722794951532435
Idhna,'Arab al-Fureijat,24.097089182678815
Idhna,Far'a,4.39007623612259
Idhna,al-Karmel,22.297854639606328
Idhna,a-Samu',20.55479202563283
Idhna,Kh. Susiya,22.27439048170238
Idhna,Beit 'Awwa,7.263758347970998
Idhna,Beit Mirsim,14.080813098687871
Idhna,Yatta,17.41028800998716
Idhna,al-Burj,15.517266169977397
Idhna,Deir Razih,12.199311494683629
Idhna,'Arab al-Freijat,24.152617270898322
Idhna,Kh. a-Rahwah,22.712654166165613
Idhna,Humsah,4.029431785572584
Idhna,Sikkah,9.083643208551731
Idhna,Masafer Yatta,28.42755751697489
Idhna,al-Fawar R.C.,12.969843098245892
al-Hijrah,Tarqumya,12.128358675675194
al-Hijrah,Zif,8.223994405856061
al-Hijrah,Hebron,5.866816317068273
al-Hijrah,Suba,33.44987111592895
al-Hijrah,al-'Arrub R.C.,16.327351895028016
al-Hijrah,Idhna,11.488440340511909
al-Hijrah,Birin,8.727882502351196
al-Hijrah,a-Dhahiriyah,11.526695661830283
al-Hijrah,al-Baq'ah (Hebron),8.284183139558564
al-Hijrah,Kh. Tatrit ('Arab al-Freijat),19.58365023376408
al-Hijrah,a-Ramadin,18.6452094740769
al-Hijrah,Deir Samit,8.499789546038373
al-Hijrah,Kh. Iqteit,18.309597402671724
al-Hijrah,Kh. Ma'in,11.561836708959822
al-Hijrah,a-Zuweidin,15.64211719177941
al-Hijrah,Kharas,13.717956656537476
al-Hijrah,Beit Ula,12.440099024547301
al-Hijrah,al-Mufaqarah,13.202394529199152
al-Hijrah,al-Buweib,1.5002263004003644
al-Hijrah,Masafer Bani Na'im (Khallet al-Masafer),18.389309391586334
al-Hijrah,Qalqas,3.543869183554999
al-Hijrah,Shuyukh al-'Arrub,13.271184187499541
al-Hijrah,Dura,3.1576588243033648
al-Hijrah,a-Tuwani,12.56801353914704
al-Hijrah,Farsh al-Hawa,8.206246928993162
al-Hijrah,Um Lasafa,11.755963646553004
al-Hijrah,al-Jawaya,11.699751945572537
al-Hijrah,Bani Na'im,10.776355278433408
al-Hijrah,Beit 'Einun,10.834760536261722
al-Hijrah,a-Rifa'iya,10.34621890500392
al-Hijrah,Sa'ir,13.296904725373938
al-Hijrah,Khallet al-Mayah,9.596060661483326
al-Hijrah,Halhul,10.878960483950195
al-Hijrah,Beit Ummar,15.485269774756722
al-Hijrah,Beit Kahil,9.101137743704903
al-Hijrah,'Arab al-Fureijat,19.584426335965095
al-Hijrah,Far'a,7.334391353857911
al-Hijrah,al-Karmel,10.811949018297422
al-Hijrah,a-Samu',10.089548991051632
al-Hijrah,Kh. Susiya,10.93058961561533
al-Hijrah,Beit 'Awwa,10.227127149476068
al-Hijrah,Beit Mirsim,14.214466047735655
al-Hijrah,Yatta,5.954782438217143
al-Hijrah,al-Burj,15.089874385011951
al-Hijrah,Deir Razih,2.305396258856476
al-Hijrah,'Arab al-Freijat,19.606088226249163
al-Hijrah,Kh. a-Rahwah,17.184286373404714
al-Hijrah,Humsah,8.273734150168869
